full_nomenclature,SMILES,short_name
(S)-N-(1-cyclohexylethyl)glycine,*N([C@@H](C)C1CCCCC1)CC(=O)*,NSC
(R)-N-(1-cyclohexylethyl)glycine,*N([C@H](C)C1CCCCC1)CC(=O)*,NRC
(S)-N-(2-butyl)glycine,*N([C@@H](C)CC)CC(=O)*,NSS
(R)-N-(2-butyl)glycine,*N([C@H](C)CC)CC(=O)*,NRS
(S)-N-(1-phenylethyl)glycine,*N([C@@H](C)c1ccccc1)CC(=O)*,NSP
(R)-N-(1-phenylethyl)glycine,*N([C@H](C)c1ccccc1)CC(=O)*,NRP
N-(phenylmethyl)glycine,*N(Cc1ccccc1)CC(=O)*,NPM
N-(methoxyethyl)glycine,*N(CCOC)CC(=O)*,NME
N-(benzoxyethyl)glycine,*N(CCOc1ccccc1)CC(=O)*,NBO
N-(phenyl)glycine,*N(c1ccccc1)CC(=O)*,NPH
N-(4-hydroxy-3-nitrophenyl)glycine,*N(c1cc(N(=O)=O)c(O)cc1)CC(=O)*,NHN
N-(2-hydroxyphenyl)glycine,*N(c1c(O)cccc1)CC(=O)*,NHP
N-(2-acetamidophenyl)glycine,*Nc1ccccc1N(C(=O)C)CC(=O)*,NAP
N-hydroxyglycine,*N(O)CC(=O)*,NHD
(S)-N-(1-phenylethyl)beta-alanine,*N([C@@H](C)c1ccccc1)CCC(=O)*,BNP
N-(benzoxyethyl)beta-alanine,*N(CCOc1ccccc1)CCC(=O)*,BNB
N-(2-methylphenyl)glycine,*N(c1c(C)cccc1)CC(=O)*,NMP
N-(2-iodophenyl)glycine,*N(c1c(I)cccc1)CC(=O)*,NIP
N-(2-tert-butylphenyl)glycine,*N(c1c(C(C)(C)C)cccc1)CC(=O)*,N2T
(S)-N-(1-naphthylethyl)glycine,*N([C@@H](C)c1cccc2ccccc21)CC(=O)*,NSN
N-(1-naphthyl)glycine,*N(c1cccc2ccccc21)CC(=O)*,NNP
N-(azidopropyl)glycine,*N(CCC[N-][N+]#N)CC(=O)*,NAZ
N-(propargyl)glycine,*N(CC#C)CC(=O)*,NPA
Proline,*N1CCC[C@@H]1C(=O)*,PRO
Alanine,*N[C@@H](C)C(=O)*,ALA
"N-(2,6-dimethylphenyl)glycine",*N(c1c(C)cccc1(C))CC(=O)*,N26
"N-(3,5-dimethylphenyl)glycine",*N(c1cc(C)cc(C)c1)CC(=O)*,N35
N-(4-fluorophenyl)glycine,*N(c1ccc(F)cc1)CC(=O)*,N4F
N-(tert-butyl)glycine,*N(C(C)(C)C)CC(=O)*,NTB
N-(propargyl)beta-alanine,*N(CC#C)CCC(=O)*,BNP
(S)-N-(1-naphthylethyl)beta-alanine,*N([C@@H](C)c1cccc2ccccc21)CCC(=O)*,NSN
(R)-N-(1-naphthylethyl)glycine,*N([C@H](C)c1cccc2ccccc21)CC(=O)*,NRN
N-allylglycine,*N(CC=C)CC(=O)*,NAL
(S)-N-(1-tert-butylethyl)glycine,*N([C@@H](C)C(C)(C)C)CC(=O)*,N1T
N-isopropylglycine,*N(C(C)C)CC(=O)*,NVA
N-(phenyl)beta-alanine,*N(c1ccccc1)CCC(=O)*,NBP
N-carboxymethylglycine,*N(CC(=O)O)CC(=O)*,NCM
N-(2-aminoethyl)glycine,*N(CCN)CC(=O)*,NAE
N-(2-hydroxyethyl)glycine,*N(CCO)CC(=O)*,NHE
N-(2-carboxyethyl)glycine,*N(CCC(=O)O)CC(=O)*,NCE
N-(2-(N-trimethylammonium)ethyl)glycine,*N(CC[N+](C)(C)C)CC(=O)*,N3M
N-(2-(methoxycarbonyl)phenyl)glycine,*N(c1c(C(=O)OC)cccc1)CC(=O)*,N2M
N-(sec-butyl)glycine,*N(C(C(C)C))CC(=O)*,NLE
"N-{2-[([2,2’-bipyridin]-6-yl)oxy]ethyl}glycine",*N(CCO(c1nc(ccc1)c2ncccc2))CC(=O)*,NAB
N-(2-phenylethyl)glycine,*N(CCc1ccccc1)CC(=O)*,NPE
Sarcosine,*N(C)CC(=O)*,SAR
N-propylglycine,*N(CCC)CC(=O)*,NPR
N-[2-(4-methoxyphenyl)ethyl]glycine,*N(CCc1ccc(OC)cc1)CC(=O)*,NMP
"N-(3,5-dimethoxyphenyl)glycine",*N(c1cc(OC)cc(OC)c1)CC(=O)*,NDM
(S)-N-[1-(4-methoxyphenyl)ethyl]glycine,*N([C@@H](C)c1ccc(OC)cc1)CC(=O)*,NSM
D-Alanine,*N[C@H](C)C(=O)*,DAL
(S)-N-[1-(1-naphthyl)pentyl]beta-alanine,*N([C@@H](CCCC)c1cccc2ccccc21)CCC(=O)*,BNN
"N-[2-(N-benzyl-N,N-diethyl)ammonium]ethylglycine",*N(CC[N+](Cc1ccccc1)(CC)CC)CC(=O)*,N2B
"N-[2-(N-propargyl-N,N-diethyl)ammonium]ethylglycine",*N(CC[N+](CC)(CC)CC#C)CC(=O)*,N2P
"N-[2-(N,N-disopropyl)ammonium]ethylglycine",*N(CC[N+](C(C)C)C(C)C)CC(=O)*,NI2
N-[2-(N-triethyl)ammonium]ethylglycine,*N(CC[N+](CC)(CC)CC)CC(=O)*,N3A
N-(4-isopropyl)phenylglycine,*N(c1ccc(C(C)C)cc1)CC(=O)*,N4I
N-(4-methyl)phenylglycine,*N(c1ccc(C)cc1)CC(=O)*,N4M
N-(4-methoxy)phenylglycine,*N(c1ccc(OC)cc1)CC(=O)*,NMO
N-(2-picolyl)glycine,*N(Cc1ncccc1)CC(=O)*,N2I
N-(1-naphthylmethyl)glycine,*N(Cc1c2ccccc2ccc1)CC(=O)*,N1N
N-(cyclohexyl)methylglycine,*N(CC1CCCCC1)CC(=O)*,NCY
N-pentylglycine,*N(CCCCC)CC(=O)*,NPY
N-hexylglycine,*N(CCCCCC)CC(=O)*,NHE
Glycine,*NCC(=O)*,GLY
beta-Alanine,*NCCC(=O)*,BAL
